word,translation,tag
locally,"adv. 地方性地, 局部性地, 在当地",toefl
locker,"n. 抽屉, 小柜, 上锁人\n[机] 锁柜",ky ielts
logical,"a. 合乎逻辑的, 合理的\n[法] 逻辑的, 符合逻辑的",cet4 cet6 ky toefl
login,"[计] 注册(程序), 登记, 用户注册程序",
logo,"n. 连合活字, 商标, 徽标\n[计] 徽标",
long,"a. 长的, 长久的, 冗长的, 做多头的\nvi. 渴望, 热望, 极想\nadv. 长久, 始终\nn. 长时间, 长信号, 长整型\n[计] 长, 长整型",zk gk toefl
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于\nvi. 受损失, 失败",zk gk cet4 cet6 ky
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡\n[化] 损失; 损耗",gk cet4 cet6 ky ielts
loudly,"adv. 高声地, 大声地, 吵闹地",gk
lounge,"n. 闲逛, 休闲室, 长沙发\nvi. 闲混, (懒洋洋地)躺\nvt. 闲混",gk cet6 ky ielts gre
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱\nvt. 爱, 爱好, 爱慕\nvi. 爱",zk gk
loyal,"a. 忠诚的, 忠实的, 忠贞的",cet4 cet6 ky toefl ielts gre
loyalty,"n. 忠贞, 忠诚, 忠实\n[法] 忠诚, 忠心",cet4 cet6 ky
luggage,"n. 行李, 皮箱",gk cet4 cet6 ky
luncheon,"n. 午宴, 午餐会",cet6
lunchtime,n. 午餐时间,
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人\nvt. 以机器制造",zk gk ielts
machinery,"n. 机器, 机械装置, 机构\n[化] 机械",ky
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒\n[计] 卡片箱, 介质装卸程序",zk gk cet4 cet6 ky ielts
main,"n. 主要部分, 干线, 体力, 力量, 主群组\na. 主要的, 重要的, 全力的\n[计] 主群组",zk gk cet4 cet6 ky ielts
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张\n[化] 维修",cet4 cet6 ky toefl ielts
major,"n. 主修课, 成年人, 陆军少校\na. 主要的, 较多的, 大部分的, 成年的, 严重的\nvi. 主修\n[计] 主要, 主要刻度",gk cet4 cet6 ky toefl ielts
majority,"n. 多数, 大半\n[计] 多数逻辑",gk cet4 cet6 ky toefl ielts
male,"n. 男人, 雄性动物\na. 男性的, 雄性的, 有力的",gk cet4 ky ielts
malfunction,"n. 故障, 失灵, 疾病\nvi. 发生故障, 不起作用\n[计] 故障",ky toefl gre
mall,n. 林荫路,cet6 toefl ielts
manage,"vi. 处理\nvt. 管理, 控制, 维持, 达成, 经营, 运用",zk gk cet4 cet6 ky
management,"n. 经营, 支配, 管理\n[化] 管理处",cet4 cet6 ky ielts
manager,"n. 经理, 管理员, 管理器\n[计] 管理器",zk gk ielts
managerial,"a. 管理的\n[经] 管理上的, 经营上的",cet6
mandatory,"a. 命令的, 托管的\n[经] 受托者, 命令者",toefl ielts gre
manual,"n. 手册, 指南\na. 手的, 手动的, 手工的, 体力的\n[计] 人工的, 手动的",cet4 cet6 ky toefl ielts
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线\nvt. 做标记于, 留意, 打分数, 表明, 标志, 记录\nvi. 作记号, 记得分\n[计] 标志; 标记; 传号",zk gk cet4 ky
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路\nvt. 在市场上交易, 使上市, 销售\nvi. 在市场上买卖",zk gk ielts
marry,"vt. 与...结婚, 娶, 嫁\nvi. 结婚",zk gk cet4 ky
mask,"n. 面具, 假面具, 掩饰, 石膏面模\nvt. 戴面具, 掩饰, 使模糊\nvi. 化装, 戴面具, 掩饰, 参加化装舞会\n[计] 屏蔽; 掩码",gk cet4 cet6 ky toefl ielts gre
massage,"n. 按摩, 揉\nvt. 按摩, 揉",
match,"n. 比赛, 火柴, 对手\nvt. 使相配, 使比赛, 与...竞争\nvi. 结婚, 相配\n[计] 比较",zk gk toefl ielts
material,"n. 材料, 物资, 素材, 布料, 资料\na. 物质的, 肉体的, 重要的",gk cet4 cet6 ky ielts
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要\nvi. 有关系",gk
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度\n[计] 最大化",gre
maybe,"adv. 也许, 大概\nn. 可能性",zk gk
meaningful,a. 意味深长的,cet6 toefl
meantime,"n. 间隔时间, 其时\nadv. 其间",cet4 cet6 ky
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法\nvt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量\nvi. 度量",gk cet4 cet6 ky ielts
mechanic,"n. 机械工, 技工\na. 手工的",cet4 cet6 ky
mechanical,"a. 机械的, 机械性的, 力学的\n[医] 机械的, 力学的",cet4 cet6 ky toefl gre
media,n. 媒体\n[计] 媒质,gk cet4 cet6 toefl ielts
medication,"n. 药物治疗, 药物处理, 医药\n[医] 药疗法, 投药法",
medium,"n. 媒体, 方法, 媒介\na. 半生熟的, 中间的\n[计] 媒体, 中",gk cet4 cet6 ky toefl ielts gre
memo,n. 备忘录\n[经] 备忘录,ky toefl
memorandum,"n. 备忘录, 外交备忘录, 交易备忘录\n[经] 备忘录, 便笺, 便函",toefl
memorize,"vt. 记住, 熟记, 背熟",gk toefl
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储\nn. 内存\n[计] 存储器, 内存, 查看内存实用程序",zk gk cet4 cet6 ky toefl
mention,"n. 提到, 言及, 陈述\nvt. 提到, 提及",zk gk toefl
mentor,"n. 指导者, 良师益友",toefl gre
merchandise,"n. 商品, 货物\nv. 交易, 买卖",cet6 ky toefl
merchant,"n. 商人, 店主\na. 商业的, 商人的",gk cet4 cet6 ky toefl
merge,"vt. 使合并, 使消失, 吞没\nvi. 合并, 渐渐消失\n[计] 合并",cet6 ky toefl ielts
merger,"n. 合并, 归并\n[经] 购并",ky toefl
merit,"n. 优点, 功绩, 价值, 功过, 真相\nvt. 值得\nvi. 应受",cet4 cet6 ky toefl ielts gre
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词\nvt. 通知\nvi. 通报, 报告, 报信\n[计] 报文; 消息; 信息",zk gk cet4 cet6 ky
messenger,"n. 报信者, 使者\n[经] 使者, 送信者, 通信员",cet4 cet6 ky
method,"n. 方法, 办法, 条理, 秩序\n[医] [方]法",zk gk cet4 cet6 ky ielts
microphone,"n. 扩音器, 麦克风\n[医] 扩音器, 传声器",cet4 cet6 ky ielts
microscope,n. 显微镜\n[化] 显微镜,gk cet4 cet6 ky toefl gre
microwave,n. 微波\n[计] 微波,gk cet6 toefl
middle,"n. 中央, 中间, 腰部\na. 中央的, 中庸的, 中间的",zk gk
midnight,"n. 午夜, 子夜, 半夜\na. 午夜的, 半夜的",gk cet4 cet6 ielts
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的\n[医] 轻的, 缓和的",gk cet4 cet6 ky toefl
mile,"n. 英里, 很大距离\n[机] 英里, 哩",zk gk cet4 cet6 ky
mileage,n. 英里数\n[经] 运费(按英里计算的),ielts
military,"n. 军队\na. 军事的, 军人的, 适于战争的",cet4 cet6 ky toefl
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意\nvi. 介意, 注意, 留心\nvt. 注意, 留意, 专心于, 照看, 介意",zk gk ielts
mine,"n. 矿, 矿藏, 地雷\nvt. 挖掘, 开采, 在...布雷, 破坏\nvi. 开矿, 埋设地雷\npron. 我的",gk toefl ielts
mineral,"n. 矿物, 无机物, 苏打水\na. 矿物的, 似矿物的",gk toefl
mini,"n. 同类中的极小者, 微型汽车, 超短裙\na. 微型的",
minimize,vt. 将...减到最少\nvt. 最小化\nvi. 最小化\n[计] 最小化,cet6 ky toefl gre
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记\nvt. 记录, 摘录, 测定时间\na. 微小的, 详细的",zk gk toefl ielts
misidentify,v. 识别错,
mislead,vt. 误导,cet4 cet6 ky toefl
misplace,vt. 放错地方,
miss,"n. 失误, 避免, 失败, 小姐\nvt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念\nvi. 失败, 击不中",zk gk
mister,n. 先生,cet4 cet6
model,"n. 模型, 模范, 模特儿\na. 模范的, 作模型用的\nvi. 做模型, 做模特儿\nvt. 使模仿, 塑造\n[计] 模型",zk gk cet4 ky ielts
modem,n. 调制解调器\n[计] 调制解调器,gk toefl
modern,"n. 现代人, 有思想的人\na. 现代的, 时髦的",zk gk ielts
modification,"n. 修正, 修饰, 修改\n[化] 修饰; 修改",cet6
monument,"n. 纪念碑, 纪念物, 石碑",gk cet4 cet6 ky toefl
morale,"n. 士气, 道德",toefl gre
mosquito,n. 蚊子\n[医] 蚊,gk cet4 cet6 ky ielts gre
mother,"n. 母亲, 修女院长\nvt. 产生, 照看, 收养",zk gk ielts
motorcycle,"n. 摩托车\n[机] 机动车, 机踏车, 摩托车",zk gk ielts
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章\n[医] 运动",gk cet4 cet6 ky gre
movie,n. 电影,zk gk cet4 ky ielts
mower,"n. 刈草的人, 刈草机",
music,"n. 音乐, 乐曲",zk gk ielts
myself,"pron. 我自己, 我亲自, 我独自",zk gk
nail,"n. 钉子, 指甲\nvt. 用钉钉牢, 使固定, 截住, 揭露",gk cet4 cet6 ky toefl
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷\nvi. 小睡, 疏忽\nvt. 使拉毛, 打盹度过, 预测...为获胜马",cet4 cet6 ky ielts
nation,"n. 国家, 民族\n[法] 民族, 国家",gk cet4 cet6 ky
national,"a. 国家的, 国立的, 全国性的, 民族的\n[经] 全国性的, 国家的, 国民的",zk gk cet4 cet6 ky ielts
nationwide,"a. 全国性的\n[法] 全国的, 全国范围的",gk toefl
natural,"n. 白痴\na. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的",zk gk cet4 cet6 ky toefl ielts
nature,"n. 自然, 大自然, 本性, 性格, 性质\n[医] 自然, 大自然; 本性, 性能",zk gk cet4 cet6 ky ielts
near,"a. 近的, 近亲的, 近似的\nadv. 接近, 亲近\nprep. 靠近, 近似于\nv. 接近, 走近",zk gk
nearly,"adv. 几乎, 密切地",zk gk toefl
neat,"a. 整洁的, 巧妙的, 匀称的, 简洁的\nn. 牛",gk cet4 cet6 ky toefl ielts
necessary,a. 必要的；必然的；必需的,zk gk
necessity,"n. 需要, 必需品, 必然\n[法] 必要性, 必然性, 必要",cet4 cet6 ky toefl
necklace,n. 项链,gk cet4 cet6 ky
needy,"a. 贫穷的, 贫困的, 生活艰苦的",toefl gre
network,"n. 网络, 广播网, 网状物\n[计] 网络",gk cet4 cet6 ky ielts
news,"n. 新闻, 消息, 报导\n[法] 新闻, 消息, 新闻报导",zk gk
newsletter,"n. 时事通讯, 业务通讯, 时事传报\n[法] 时事通讯, 时事信札",
newspaper,n. 报纸,zk gk ielts
newsstand,"n. 报摊, 报刊出售处",toefl
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的",zk gk gre
noisy,"a. 嘈杂的, 喧闹的\n[机] 噪声的, 嘈杂的",gk cet4 cet6 ky toefl ielts
nominate,"vt. 提名, 任命, 命名\n[法] 提名...为候选人, 指定, 推荐",cet6 ky toefl ielts gre
nomination,"n. 提名, 任命, 提名权",
none,"adv. 一点也不, 毫不\npron. 没有人, 无一物, 并无一个\na. 没有的",zk gk
noon,"n. 正午, 中午, 全盛期",zk gk
nor,"conj. 也不, 也没有\n[计] 或非",zk gk
normal,"n. 常态, 标准, 正常, 普通\na. 正常的, 正规的, 标准的, 师范的, 正态的\n[计] 标准, 普通",zk gk cet4 cet6 ky toefl ielts
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会\nvt. 记录, 注解, 注意",zk gk toefl
notice,"n. 注意, 布告, 通知, 预告, 短评\nvt. 注意, 通知, 评论, 提及, 关注\nvi. 注意",zk gk cet4 cet6 ky toefl ielts
notify,"vt. 通知, 通告, 报告\n[计] 通知",cet4 cet6 ky ielts
now,"adv. 现在, 刚才, 目前\nn. 现在\na. 现在的\nconj. 由于",zk gk
number,"n. 数, 数字, 数目, 号码\nvt. 数, 计算, 共计\nvi. 计算, 报数\n[计] 数字",zk gk
nutrition,"n. 营养, 营养学\n[医] 营养, 营养品",gk cet6 ky toefl ielts gre
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体\nvi. 反对, 抱反感\nvt. 提出...来反对\n[计] 对象",zk gk cet4 cet6 ky ielts
obligate,"vt. 使负义务, 强使, 使感激, 施恩惠于\na. 有责任的, 必须的",
oblige,"vt. 强制, 施恩惠于, 使感激\nvi. 施恩惠, 帮忙",cet4 cet6 ky toefl ielts gre
obtain,"vt. 获得, 达到\nvi. 流行, 得到公认",gk cet4 cet6 ky toefl
obviously,"adv. 显而易见地, 明显地",cet4 cet6
occupancy,"n. 占有, 居住, 占用\n[法] 占据, 据有, 占用",
occupant,"n. 占有者, 居住者, 占用者",toefl
occupation,"n. 职业, 占有, 占有期, 占领, 占领军\n[经] 占有, 占用, 职业",gk cet4 cet6 ky toefl ielts gre
occur,"vi. 发生, 被想到, 存在",gk cet4 cet6 ky toefl ielts
occurrence,"n. 发生, 事件, 出现\n[医] 发生",cet4 cet6 ky toefl ielts gre
offer,"n. 给予(物), 出价, 提议, 意图, 报价\nvt. 提供, 出价, 奉献, 试图, 使出现, 演出\nvi. 出现, 献祭, 提议, 求婚",zk gk cet4 cet6 ky toefl ielts
office,"n. 办公室, 部, 公职, 职责\n[化] 办公室",zk gk ielts
officer,"n. 军官, 主管, 官员, 公务员\nvt. 指挥",zk gk cet4 cet6 ky ielts
official,"n. 官员, 公务员, 职员\na. 公务的, 官方的, 正式的",gk cet4 cet6 ky toefl
officially,"adv. 作为公务员, 职务上, 官方地",
oil,"n. 油, 石油, 油画颜料\nvt. 涂油于, 使融化成油状, 加油于\nvi. 加燃油, 融化",zk gk cet4 ky ielts
okay,"a. 好, 可以, 行, 对, 好吗, 很好\nadv. 好, 可以, 行, 对, 好吗, 很好\nn. 同意, 签认, 批准, 认可\nvt. 同意, 签认, 批准, 认可",cet4 ky
omit,"vt. 省略, 删除, 疏忽, 遗漏\n[化] 省略",cet4 cet6 ky toefl ielts gre
ongoing,"a. 前进的, 进行的, 不间断的\nn. 前进, 发展",toefl ielts
operate,"v. 操作, 运转, 动手术, 活动",gk cet4 cet6 ky toefl
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务\n[计] 运算",zk gk cet4 cet6 ky
operational,"a. 操作的, 运作的\n[法] 操作上的, 业务上的, 可起作用的",cet4 cet6 ky
opinion,"n. 意见, 评价, 主张\n[经] 意见",gk cet4 cet6 ky toefl ielts
opportunity,"n. 机会, 时机",cet4 cet6 ky toefl ielts
opt,vi. 选择,ky ielts
optimistic,"a. 乐观的, 乐观主义的, 乐天的",gk cet4 cet6 ky toefl
option,"n. 选择权, 挑选, 选项\n[计] 选项",cet4 cet6 ky toefl ielts
optional,"a. 可选择的, 随意的\n[化] 选购的",gk cet4 cet6 ky toefl ielts gre
orchestra,"n. 管弦乐队, 乐队演奏处",cet4 cet6 ky toefl ielts gre
order,"n. 次序, 规则, 命令\nvi. 命令, 定货\nvt. 整理, 命令, 定购\nn. 顺序, 阶数\n[计] 顺序, 阶数",zk gk ielts
organization,"n. 组织, 结构, 团体, 体制\n[医] 组织, 机构, 机化(血栓或坏死组织)",gk cet4 cet6 ky ielts
organizational,"a. 组织的\n[法] 组织的, 编制的, 机构的",
organize,"vt. 组织, 有机化, 给予生机\nvi. 组织起来",cet4 cet6 ky
organizer,"n. 组织者, 编制者, 创立者, 组织导体\n[医] 组织导体, 机化中心(胚)",ielts
orientation,"n. 定方位, 适应, 向东方\nn. 方向\n[计] 方向",cet6 ky toefl ielts
original,"a. 最初的, 原始的, 有创意的\nn. 原物, 原作",cet4 cet6 ky toefl ielts gre
outage,"n. (水、电、煤)断供, 储运损耗\n[化] (蓄水池为了水膨胀)预留的容量; 排出量",
outdated,"a. 旧式的, 落伍的, 过时的",toefl ielts
outdoor,"a. 户外的, 屋外的, 露天的",cet4 cet6 ky
outfit,"n. 用具, 配备, 机构\nvt. 配备, 供应\nvi. 得到装备",ky toefl ielts
outlet,"n. 出口, 发泄方法, 市场\n[医] 出口",cet4 cet6 ky toefl ielts gre
outlook,"n. 观点, 景色, 前途, 了望\n[经] 展望",cet4 cet6 ky toefl
outside,"n. 外面, 外表, 外界\na. 外面的, 外表的, 外界的\nadv. 外面, 外表, 外界",zk gk
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的\n[经] 未解决的, 未偿付",gk cet4 cet6 ky toefl
oval,"n. 椭圆形\na. 卵形的, 椭圆形的",gk cet4 cet6 ky toefl ielts
oven,"n. 烤箱, 灶, 子宫\n[化] 烘箱",cet4 cet6 ky toefl
overcharge,"v. 讨价过高, 装载过多, 过度充电, 渲染\nn. 超载, 装药过多, 过度充电",toefl
overcrowd,"vt. 容纳过多的人, 使过度拥挤",
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的\n[经] 过期未付的",cet4 toefl ielts gre
overhead,"n. 经常开支, 普通用费, 天花板\na. 在头上的, 高架的\nadv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地\n[计] 总开销; 额外开销",gk cet4 cet6 ky ielts
overlook,"vt. 俯瞰, 远眺, 没注意到\nn. 眺望, 俯瞰到的景色",gk cet4 cet6 ky toefl ielts gre
overnight,"n. 前一天晚上, 一夜的逗留\na. 通宵的, 晚上的, 前夜的\nadv. 在前一夜, 整夜, 昨晚一晚上",cet4 cet6 ky
overpay,"vt. 多付, 多给报酬\nvi. 付得过多",
oversee,"vt. 向下看, 了望, 监督, 偷看到\n[法] 监察, 监督, 俯瞰",toefl ielts gre
overtime,"n. 超时, 加班, 延长时间\na. 超时的, 加班的\nadv. 加班地\nvt. 使超过时间",cet4 cet6 ky toefl
overview,"n. 概述, 概观, 总的看法\n[计] 概述",
packet,"n. 小包, 一批信件, 大量, 信息包\nvt. 打包, 装进小包\n[计] 分组, 分组报文, 数据分组",gk cet4 cet6 ky
pad,"n. 填补, 衬垫, 印色盒, 路\nvt. 填补, 走, 夸大\nvi. 步行\n[计] 焊接点; 包装配/拆卸",cet4 cet6 ky ielts
page,"n. 页, 记录, 事件, 专栏, 男侍\nvt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候\nvi. 翻书页, 侍侯\n[计] 页; 页面",zk gk
paint,"n. 油漆, 颜料, 绘画作品, 涂漆\nvt. 油漆, 绘, 画, 描绘, 装饰, 点缀\nvi. 绘画, 涂漆",zk gk cet4 ky
painter,"n. 画家, 油漆匠\n[机] 油漆匠, 喷漆匠",gk cet4 ky
pamphlet,"n. 小册子, 活页文选",cet6 ky toefl ielts gre
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景\nv. 上下左右移动, 摇镜头, 淘洗, 淘金",gk cet4 cet6 ky gre
pant,"n. 喘息, 悸动\nvi. 喘息, 渴望\nvt. 气喘吁吁地说",cet4 cet6 ky ielts
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件\nvt. 用纸糊, 贴壁纸于, 用纸包装\nvi. 贴壁纸\na. 纸做的, 纸上的",zk gk ielts
paperback,"n. 平装本, 纸面本",ky
paperwork,n. 文书工作,gk
parade,"n. 游行, 炫耀, 阅兵\nv. 游行, 炫耀, (使)列队行进",cet4 cet6 ky toefl ielts
paralegal,[法] 律师的专职助手,
paraphrase,"n. 释义, 解述, 改写\nvt. 改写, 解述\nvi. 释义, 意译",toefl ielts gre
parcel,"n. 包裹, 部分, 片\nvt. 分配, 打包\na. 部分的\nadv. 局部地",gk cet4 cet6 ky ielts
parent,"n. 父母, 父母亲, 根源\n[法] 父亲, 母亲, 根源",zk gk ielts
park,"n. 公园, 停车处\nvt. 停车, 置于\nvi. 停车",zk gk ielts
partial,"a. 部分的, 偏袒的, 偏爱的\nn. 分音",cet4 cet6 ky toefl ielts gre
partially,"adv. 部分地, 一部分地, 不公平地",cet4 cet6 toefl
particular,"n. 一项(或条、点), 个别项目, 详细说明\na. 特别的, 独有的, 挑剔的, 详尽的",gk cet4 cet6 ky gre
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地",cet4 cet6
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会\nv. 举办聚会",zk gk toefl ielts
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格\nvt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略\nvi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递\n[计] 遍",zk gk ielts
passport,"n. 护照, 手段, 通行证\n[法] 通行证, 护照",zk gk ielts
password,"n. 密码, 口令, 通行手段\n[计] 口令",
past,"n. 过去, 昔时, 往事, 早年经历, 过去时\na. 过去的, 结束的, 卸任的, 过去时的\nprep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)\npass的过去分词",zk gk
pasta,"n. 意大利面食\n[医] 糊剂, 泥膏剂",
pastry,"n. 油酥点心, 面粉糕饼",gre
patent,"n. 专利权, 许可证, 执照, 专利品, 素质\na. 专利的, 特许的, 显著的, 新奇的\nvt. 取得...的专利权, 请准专利",gk cet6 ky toefl ielts gre
patience,"n. 耐性, 忍耐",gk cet4 cet6 ky toefl
patient,"n. 病人, 承受者\na. 忍耐的, 容忍的, 有耐性的, 坚忍的",zk gk cet4 cet6 ky
patron,"n. 赞助人, 顾客, 保护人\n[法] 保护人, 庇护人, 赞助人",cet6 ky toefl ielts
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式\nvt. 模仿, 仿造, 以图案装饰\nvi. 形成图案\n[计] 模式, 图案",gk cet4 cet6 ky ielts
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符\nvi. 暂停, 中止, 停顿, 踌躇\n[计] DOS内部命令:暂时停止批处理文件的执行",gk cet4 cet6 ky
payable,"a. 可付的, 到期的, 应付的, 有利益的\n[经] 应付的",ielts
paycheck,"n. 付薪水的支票, 薪水",toefl
payroll,"n. 工资名单, 饷金名单, 发放的工资总额\n[计] 工资表, 工资单",
pedestrian,"n. 行人, 步行者\na. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的",gk cet6 ky ielts gre
penalize,"vt. 处刑, 对...处罚(刑), 使不利\n[法] 处罚, 对...处以刑事惩罚",gre
pepper,"n. 胡椒粉, 胡椒, 辣椒\n[化] 胡椒; 辣椒; 花椒",gk cet4 cet6 ky
per,"prep. 每一, 通过, 经, 按照\n[经] 每, 按照",gk ielts
percent,"n. 百分比, 百分数, 部分\n[机] 百分率",zk gk cet4 cet6 ky ielts
perform,"vt. 进行, 履行, 完成, 执行, 表演\nvi. 行动, 工作, 执行, 演出",gk cet4 cet6 ky toefl
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出\n[电] 绩效, 性能",gk cet4 cet6 ky toefl ielts
performer,"n. 表演者, 执行者, 完成者\n[法] 执行者, 履行者, 实行者",gk toefl
perhaps,"adv. 也许, 大概",zk gk cet4 cet6 ky
period,"n. 时期, 节段, 节, 句点, 学时, 周期\na. 当时特有的, 过去某段时期的\ninterj. 就是这话, 就是这么回事",zk gk cet4 cet6 ky toefl ielts
periodical,"n. 期刊\na. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的",cet6 ky toefl ielts gre
periodically,"adv. 定期, 循环, 间歇, 周期, 定期刊行, 期刊",ielts
permanently,"adv. 永久, 不变, 持久\n[计] 永久性的",cet4 cet6
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的\n[医] 人的; 个人的, 自身的",zk gk cet4 cet6 ky ielts
personalize,"vt. (贬)使个人化, 体现, 使人格化, 在(物品)上标明姓名/标出地址/标出记号",
pet,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气\na. 宠爱的, 表示亲昵的, 养着观赏的, 特别珍爱的, 格外的\nvt. 宠爱, 溺爱, 抚摸\nvi. 拥抱, 爱抚, 生气, 发脾气",zk gk cet4 cet6 ky toefl ielts
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文\nv. 正式请求, 恳求, 请愿",cet6 ky toefl ielts gre
pharmaceutical,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的\nn. 药品, 成药, 药剂",ielts gre
pharmacist,"n. 药师, 药品商, 药商, 药剂师\n[医] 药师, 调剂员, 药商",
pharmacy,"n. 药房, 配药学, 制药业\n[医] 药学, 药剂学, 调剂学, 药房",ky ielts
phone,"n. 电话, 受话器, 耳机\nvt. 打电话给\nvi. 打电话",zk cet4 ky ielts
photocopier,"n. 影印机, 摄影复制机",
photocopy,"n. 影印, 复印件\nv. 影印",ielts
photographer,"n. 摄影师, 摄影者",gk
photography,"n. 摄影, 摄影术\n[化] 照相术",cet6
physician,"n. 医师, 内科医师, 解除痛苦者\n[医] 主治医师",gk cet4 cet6 ky toefl ielts
physics,"n. 物理学, 物理过程, 物理现象\n[化] 物理; 物理学",zk gk cet4 cet6 ky
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄\nv. 摘, 掘, 凿, 挖, 挑选\n[计] 拾取",zk gk ielts
picnic,"n. 野餐, 远足, 愉快的经历\nvi. 去野餐, 远足",zk gk cet4 ky ielts
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维\nvt. 画, 拍摄, 用图说明, 描写, 想像\n[计] 图象; 形象; 字形",zk gk ielts
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊\n[计] 饼图",zk gk cet4 ky ielts
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量\nvt. 修补, 修理, 拼合, 接线头\nvi. 吃零食",zk gk
pill,"n. 药丸, 弹丸, 屈辱, 胡说\nv. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫",gk cet4 cet6 ky toefl
pillow,"n. 枕头, 靠垫, 枕状岩\nvt. 作...的枕头, 垫, 枕于\nvi. 靠在枕上",gk cet4 cet6 ky toefl ielts
pizza,n. 比萨饼,
placement,"n. 放置, 布置, 工作安排, 编班, 定位球\n[计] 放置",ielts
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图\nvt. 计划, 设计, 意欲\nvi. 订计划",zk gk ielts
planner,"n. 计划者, 设计者, 安排者\n[机] 刨床机",ielts
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备\nvt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于\nvi. 种植",zk gk ielts
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的\n[法] 花言巧语的, 似乎有理的",cet6 ky toefl ielts gre
player,"n. 竞赛者, 上场队员, 游戏者, 演员\n[经] 交易者",gk cet4 cet6 ielts
please,"adv. 请\nvt. 使高兴, 合...的心意, 取悦\nvi. 使人满意, 讨好, 愿意, 敬请",zk gk
plow,"n. 犁\nv. 犁, 耕",toefl
plug,"n. 塞子, 栓, 插头\nvt. 插入, 塞住, 接插头\nvi. 被塞住",gk cet4 cet6 ky ielts
plumber,n. 水管工人\n[法] 堵漏防漏人员,ky toefl gre
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端\nvt. 用竿支撑\nvi. 撑篙",gk cet4 cet6 ky toefl ielts
police,"n. 警察, 警察当局, 治安\nvt. 维持治安, 管辖",zk gk cet4 ky ielts
